City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Boa Vista,BR,2021-01-20 01:16:18,2.8197,-60.6733,82.4,61,0,6.91
139,Kaman,IN,2021-01-20 01:16:18,27.65,77.2667,51.55,66,0,6.58
140,Noumea,NC,2021-01-20 01:16:18,-22.2763,166.4572,82.0,89,75,4.61
141,Quelimane,MZ,2021-01-20 01:16:18,-17.8786,36.8883,82.0,89,20,2.3
142,Khani,GE,2021-01-20 01:16:18,41.9563,42.9566,30.2,100,75,6.91
143,Camopi,GF,2021-01-20 01:16:19,3.1655,-52.3158,70.92,97,100,2.82
144,Nome,US,2021-01-20 01:16:19,64.5011,-165.4064,-9.4,70,1,3.44
145,Iracoubo,GF,2021-01-20 01:16:19,5.4802,-53.2011,77.43,80,100,13.15
146,Hualmay,PE,2021-01-20 01:16:19,-11.0964,-77.6139,71.53,81,90,8.03
147,Lata,PT,2021-01-20 01:16:20,40.1629,-8.3327,55.0,93,100,11.99
148,Sao Gabriel Da Cachoeira,BR,2021-01-20 01:16:20,-0.1303,-67.0892,73.74,96,85,1.83
149,Beyneu,KZ,2021-01-20 01:16:20,45.3167,55.2,19.49,90,85,3.22
150,Verkhoyansk,RU,2021-01-20 01:16:00,67.5447,133.385,-31.5,81,100,1.03
151,Castro,BR,2021-01-20 01:16:20,-24.7911,-50.0119,63.81,97,100,7.81
152,Bengkulu,ID,2021-01-20 01:16:21,-3.8004,102.2655,78.33,77,84,6.06
153,Fonte Boa,BR,2021-01-20 01:13:08,-2.4959,-66.2662,72.52,97,100,4.88
154,Kshenskiy,RU,2021-01-20 01:16:21,51.8408,37.7136,-9.45,90,61,6.85
155,Marang,MY,2021-01-20 01:16:21,5.2056,103.2059,77.0,88,20,2.3
156,Saskylakh,RU,2021-01-20 01:16:21,71.9167,114.0833,-23.49,85,100,6.38
157,Mbulu,TZ,2021-01-20 01:16:22,-3.85,35.5333,58.39,95,100,3.76
158,Sur,OM,2021-01-20 01:16:22,22.5667,59.5289,68.13,55,0,3.04
159,Hithadhoo,MV,2021-01-20 01:16:22,-0.6,73.0833,80.87,70,0,10.89
160,Kavieng,PG,2021-01-20 01:16:23,-2.5744,150.7967,82.69,78,100,12.33
161,Santa Lucia,ES,2021-01-20 01:16:23,27.9117,-15.5407,57.99,82,0,4.61
162,Maple Creek,CA,2021-01-20 01:16:23,49.9168,-109.4848,39.2,52,100,20.71
163,Chokurdakh,RU,2021-01-20 01:16:23,70.6333,147.9167,-34.15,84,99,1.88
164,Mareeba,AU,2021-01-20 01:16:23,-17.0,145.4333,80.01,89,75,11.5
165,Shelburne,CA,2021-01-20 01:16:24,44.0787,-80.2041,26.01,88,59,10.85
166,Pevek,RU,2021-01-20 01:16:24,69.7008,170.3133,-29.47,85,100,7.27
167,Gelgaudiskis,LT,2021-01-20 01:16:24,55.0792,22.9758,12.42,95,100,13.2
168,Port Hardy,CA,2021-01-20 01:16:24,50.6996,-127.4199,42.8,100,75,2.3
169,Iwanai,JP,2021-01-20 01:16:25,42.9744,140.5089,19.29,92,100,16.17
170,Dikson,RU,2021-01-20 01:16:25,73.5069,80.5464,-20.54,89,100,8.3
171,Barrow,US,2021-01-20 01:15:05,71.2906,-156.7887,-2.2,78,90,19.57
172,Qaanaaq,GL,2021-01-20 01:16:25,77.484,-69.3632,4.91,74,100,6.06
173,Kerema,PG,2021-01-20 01:16:25,-7.9631,145.7785,86.85,66,100,5.95
174,Yarim,YE,2021-01-20 01:16:26,14.298,44.3779,43.83,48,29,1.95
175,Sakakah,SA,2021-01-20 01:16:26,29.9697,40.2064,46.4,53,0,4.61
176,Saint Anthony,US,2021-01-20 01:16:26,45.0205,-93.218,10.4,66,1,4.61
177,Bawku,GH,2021-01-20 01:16:26,11.0616,-0.2417,73.13,20,0,9.89
178,Maholi,IN,2021-01-20 01:16:27,27.6667,80.4667,51.85,76,0,8.3
179,Kahului,US,2021-01-20 01:16:27,20.8947,-156.47,80.6,57,40,14.97
180,Balykshi,KZ,2021-01-20 01:16:27,47.0667,51.8667,3.2,85,0,2.24
181,Tobol,KZ,2021-01-20 01:16:27,52.6844,62.5794,7.59,95,100,2.93
182,Puksoozero,RU,2021-01-20 01:16:27,62.5903,40.6066,10.17,96,95,6.13
183,Nanning,CN,2021-01-20 01:16:28,22.8167,108.3167,55.4,82,53,6.71
184,Barwadih,IN,2021-01-20 01:16:28,23.8333,84.1167,54.63,69,0,2.84
185,Vanderhoof,CA,2021-01-20 01:16:28,54.0166,-124.0198,32.36,92,0,9.15
186,Abha,SA,2021-01-20 01:16:28,18.2164,42.5053,53.6,87,0,6.91
187,Lebu,CL,2021-01-20 01:16:28,-37.6167,-73.65,60.37,78,0,20.2
188,Grindavik,IS,2021-01-20 01:16:29,63.8424,-22.4338,32.0,74,75,20.71
189,Hobyo,SO,2021-01-20 01:16:29,5.3505,48.5268,76.89,80,77,17.92
190,Kangaatsiaq,GL,2021-01-20 01:16:29,68.3065,-53.4641,20.61,85,100,7.92
191,Kupang,ID,2021-01-20 01:16:29,-10.1667,123.5833,82.4,89,75,12.66
192,Whitehorse,CA,2021-01-20 01:15:03,60.7161,-135.0538,30.2,59,75,5.75
193,Lakatoro,VU,2021-01-20 01:16:30,-16.0999,167.4164,86.09,68,100,4.97
194,Yellowknife,CA,2021-01-20 01:16:30,62.456,-114.3525,14.0,92,90,6.91
195,Tiksi,RU,2021-01-20 01:16:30,71.6872,128.8694,-26.43,80,100,3.47
196,Coquimbo,CL,2021-01-20 01:13:37,-29.9533,-71.3436,60.8,82,0,9.22
197,Acapulco,MX,2021-01-20 01:16:31,16.8634,-99.8901,80.6,78,75,8.05
198,Vardo,NO,2021-01-20 01:16:31,70.3705,31.1107,23.79,89,100,17.34
199,Opunake,NZ,2021-01-20 01:16:31,-39.4556,173.8583,59.0,67,96,13.0
200,Brae,GB,2021-01-20 01:16:31,60.3964,-1.353,39.2,81,40,5.75
201,Tasiilaq,GL,2021-01-20 01:16:32,65.6145,-37.6368,10.4,67,100,2.3
202,Komsomolskiy,UZ,2021-01-20 01:16:32,40.4272,71.7189,42.8,65,29,4.61
203,Ahipara,NZ,2021-01-20 01:16:32,-35.1667,173.1667,64.42,69,73,14.34
204,Yulara,AU,2021-01-20 01:16:32,-25.2406,130.9889,91.4,10,0,18.41
205,Mahebourg,MU,2021-01-20 01:16:13,-20.4081,57.7,77.0,94,20,5.75
206,Martapura,ID,2021-01-20 01:16:33,-3.4167,114.85,82.4,89,40,5.75
207,Baruun-Urt,MN,2021-01-20 01:16:33,46.6806,113.2792,3.78,90,0,15.77
208,Mana,GF,2021-01-20 01:16:33,5.6592,-53.7767,76.75,81,100,11.83
209,Newport,GB,2021-01-20 01:11:49,51.5877,-2.9984,54.0,99,100,5.01
210,Havoysund,NO,2021-01-20 01:16:34,70.9963,24.6622,17.6,62,0,6.91
211,Touros,BR,2021-01-20 01:16:34,-5.1989,-35.4608,78.8,83,40,6.91
212,Talnakh,RU,2021-01-20 01:16:34,69.4865,88.3972,-25.8,84,100,0.43
213,Atlantic City,US,2021-01-20 01:16:13,39.3643,-74.4229,39.99,60,1,3.44
214,Ayagoz,KZ,2021-01-20 01:16:34,47.9714,80.4392,20.48,97,97,7.72
215,Tautira,PF,2021-01-20 01:16:35,-17.7333,-149.15,86.0,62,20,6.91
