City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
670,Gua Musang,MY,70.68,overcast clouds,4.8823,101.9644,Mines Inn Hotel
671,Calabozo,VE,86.41,overcast clouds,8.9242,-67.4293,Hotel Giardini
672,Cassilandia,BR,76.69,moderate rain,-19.1133,-51.7342,Hotel Rafa Cassilândia
680,Rio Gallegos,AR,71.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
682,Loa Janan,ID,72.7,overcast clouds,-0.583,117.095,Pondok hijau 2A
686,Atar,MR,70.03,overcast clouds,20.5169,-13.0499,Oumou Elghoura
687,Banda Aceh,ID,77.0,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
688,Taupo,NZ,77.0,few clouds,-38.6833,176.0833,Lake Taupo Motor Inn
689,Upata,VE,74.25,broken clouds,8.0086,-62.3989,Posada Villa Nela
691,Talara,PE,76.78,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
698,Coihaique,CL,78.8,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
699,Todos Santos,MX,70.0,broken clouds,23.45,-110.2167,Hotel California Todos Santos
706,Adelaide,AU,71.01,light rain,-34.9333,138.6,The Chancellor on Currie
710,Kirakira,SB,84.92,broken clouds,-10.4544,161.9205,SanBiz Lodge
712,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Novotel Dakar
